#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2NI
#Serial Number: SN:210321AD1509
#Date Time: 2021-10-12 17:12:40.380
#Start: 100 Hz
#Stop: 1e+06 Hz
#Steps: 151
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.49264 V
#Offset: 0.000293069 V
#Relative: no
#Channel: Channel 2
#Range: 5.52637 V
#Offset: 0.000302154 V
#Relative: yes

#Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
100,0.0001447124121339915,-0.01135808606406264,-0.7621958882452969
106.3326571637162,7.066028579419899e-05,-0.01161009646308123,-0.810913456923958
113.0663397949639,0.0001721956282227357,-0.01192106724437286,-0.8620391929861749
120.2264434617413,0.0001668329520746438,-0.0120897650837775,-0.9168616265435707
127.8399719463023,6.243683479403504e-05,-0.01222825592618718,-0.974717363721833
135.9356390878525,0.000140781367495099,-0.01228345534399341,-1.036352136945895
144.5439770745928,0.0001084286463131861,-0.01246908934531583,-1.101931139049641
153.6974515935271,0.0003028635223651536,-0.01278634952056975,-1.171617925992976
163.4305842723138,0.0002473831652779621,-0.01305604103942375,-1.245575518971461
173.7800828749376,0.0001986920641456361,-0.0134460849695021,-1.324338733802694
184.7849797422291,0.0001874454163726623,-0.01389220062705904,-1.408234575411269
196.4867789993468,0.0002801426806091235,-0.01425252629249749,-1.497122782682125
208.9296130854039,0.0003034866409122082,-0.01466328926014484,-1.591911052896481
222.1604091955812,0.0002882355151277828,-0.01523601448637625,-1.692455804670879
236.2290662634463,0.000124918559150807,-0.01570355133969648,-1.799835846375238
251.1886431509579,0.0002852665023047789,-0.01636830235545029,-1.912899622319644
267.0955587558985,0.0002889122956395569,-0.01717009890501509,-2.033805589808809
284.0098047914214,0.0001698377355414988,-0.01784832272481954,-2.162094221834864
301.9951720402016,0.000241181852660217,-0.01855327418581432,-2.298847233197686
321.1194909364824,0.0002563870973298165,-0.01962864301442446,-2.444018683065381
341.4548873833601,0.0002193805448947369,-0.02071770270739899,-2.598230160039281
363.0780547701014,-1.359609537620319e-05,-0.02187714111584413,-2.762374218130085
386.0705432153815,-0.0001477516209630821,-0.02322451254493624,-2.936646099665442
410.5190671273079,-0.0001849715801909708,-0.02476592021334758,-3.121927892388876
436.5158322401661,-0.0001464890389703908,-0.02672262967859134,-3.318844501821812
464.1588833612777,-0.0001161970213510372,-0.02882840651470656,-3.52789356488253
493.5524741394807,-2.867616517318092e-05,-0.03116789140406561,-3.75034602947682
524.8074602497722,-0.0001146186212391475,-0.03376368216023957,-3.986429561642197
558.0417174769964,-0.000241653219274475,-0.036677396427173,-4.237562069685123
593.3805862753281,-0.0002248545408189118,-0.03987331240106109,-4.503950727000984
630.957344480193,-0.0002893589567131867,-0.04349316007038111,-4.787026809028549
670.9137099554112,-0.0001975111158980594,-0.04752449511031619,-5.088122498620599
713.4003750712565,-0.000299800880938466,-0.05238479090711152,-5.407567396969378
758.5775750291837,-0.0002646305122016918,-0.05766957150854317,-5.746634094002498
806.6156921766136,-2.963951579290012e-05,-0.06377671168483882,-6.106779609722274
857.6958985908947,-0.0001767001681332525,-0.07055947129873617,-6.489380681395222
912.0108393559096,-0.0001026655120483708,-0.07811870509937414,-6.895138076872835
969.7653591082495,0.0001226001151001849,-0.08671602149430564,-7.325557673361123
1031.177274593056,0.0001086573226128764,-0.09623205281537323,-7.782376709615334
1096.478196143185,-3.48946592107069e-05,-0.1070321545980791,-8.266955942017649
1165.914401179831,-2.717014543459315e-05,-0.1193406645173807,-8.780693507455375
1239.747763028944,-9.624074909648478e-05,-0.1330710866597926,-9.324964969173422
1318.256738556408,0.0002213492626855715,-0.1484877453912582,-9.901911267577107
1401.737418346769,0.0001399647510653676,-0.1657655676102029,-10.51295539636897
1490.504643386196,0.0003673853599185599,-0.185239730531742,-11.1597625283637
1584.893192461114,0.0002031663297330489,-0.2070344117175067,-11.84370459782392
1685.259044750751,4.113677540321797e-05,-0.2315910468461146,-12.56731810309388
1791.980722375334,0.0001085111758447101,-0.2590773395102784,-13.33163314781289
1905.460717963248,0.0004418416958011905,-0.2901236165291216,-14.13885706769407
2026.127012621143,0.0005301591206504592,-0.3245376240221851,-14.9904384853468
