#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2NI
#Serial Number: SN:210321AD1509
#Date Time: 2021-10-13 00:14:33.818
#Start: 100 Hz
#Stop: 1e+06 Hz
#Steps: 5001
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.49264 V
#Offset: 0.000293069 V
#Relative: no
#Channel: Channel 2
#Range: 5.52637 V
#Offset: 0.000302154 V
#Relative: yes

#Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
100,-0.008920463894018855,-0.01353147641943303,-0.7791708606691575
100.1843765724026,-0.008946624310172201,-0.01344561691071298,-0.7802238443917503
100.3690930920097,-0.00883559700737931,-0.01350471022668814,-0.7821076518072363
100.5541501856044,-0.008952295800618494,-0.01349350716671553,-0.7833974998537613
100.7395484811251,-0.008940551437278434,-0.01350240820971546,-0.7845087702235227
100.9252886076684,-0.009076181778631585,-0.01338439401474857,-0.7858771415798522
101.1113711954907,-0.009055984227519978,-0.01353234731231,-0.7876783113216376
101.2977968760102,-0.009053293493214785,-0.01359169847303032,-0.7892817079142777
101.4845662818096,-0.009083933465016847,-0.01344405823982594,-0.7907899042783406
101.6716800466376,-0.008877242302663698,-0.01353932170882566,-0.7915358563763607
101.8591388054117,-0.008995089240055383,-0.0135079747917692,-0.7934053763476409
102.0469431942199,-0.008932369425245475,-0.01338261749224843,-0.794818381173376
102.235093850323,-0.00912874060747183,-0.01340756543399938,-0.796552573024617
102.4235914121569,-0.008992186139999603,-0.01340022070222073,-0.7977051890951284
102.6124365193342,-0.009038934687907282,-0.01342770772123324,-0.7995881338837364
102.8016298126473,-0.009006712440045542,-0.0134515783428619,-0.8008710248566722
102.9911719340699,-0.008867627596782288,-0.01342091381405225,-0.802422508327966
103.1810635267592,-0.008933929437595068,-0.01337078622113163,-0.8039559189539155
103.3713052350584,-0.009135329067905575,-0.013326772093987,-0.8054195263360295
103.5618977044986,-0.008919263183854415,-0.01338251621938884,-0.8071499977969383
103.7528415818013,-0.008914657358892344,-0.01350710820498635,-0.8078993070661827
103.9441375148801,-0.008820865059358144,-0.01350538620746355,-0.8097513002473411
104.1357861528434,-0.008757623116381601,-0.01357245903135329,-0.8111367099250704
104.3277881459966,-0.008768299986924197,-0.01348955372985629,-0.8128049659146743
104.5201441458436,-0.008784256339951247,-0.01356347185716603,-0.8145291582266353
104.71285480509,-0.008821012691765013,-0.01350039180631775,-0.8158292633899764
104.9059207776445,-0.008712512410598148,-0.01355271615120501,-0.8172491474856857
105.0993427186216,-0.008720994955117356,-0.01347708196737964,-0.819099352799834
105.293121284344,-0.008685815691213166,-0.01336892478068552,-0.8202459815668958
105.4872571323437,-0.008831120616911624,-0.01328392844882975,-0.8217258142767505
105.6817509213658,-0.00868768093296075,-0.01331480663120319,-0.823518743972107
105.8766033113697,-0.008654511300585586,-0.0133502815439022,-0.8247067091760292
106.0718149635315,-0.008649936585504489,-0.01333446371685078,-0.8263117751746882
106.2673865402465,-0.008765607119009488,-0.01340930737139844,-0.828096082765869
106.4633187051312,-0.008796489387926714,-0.01329703769381196,-0.8295716886476872
106.6596121230258,-0.008840675014436408,-0.01324298548251561,-0.8307329243533111
106.8562674599961,-0.008798463238871049,-0.01323247201038909,-0.8324445934216212
107.0532853833362,-0.009017712236863892,-0.01323646278528464,-0.833813345909421
107.2506665615704,-0.008841941097576489,-0.01317046839575907,-0.83560634428081
107.4484116644556,-0.008699378633851514,-0.01334686543288139,-0.8369786951934002
107.6465213629835,-0.008674267565904161,-0.01353974304210599,-0.8386682931853926
107.8449963293832,-0.008840115797126466,-0.01342553204323208,-0.8401516056651775
108.043837237123,-0.008828084486083815,-0.0132502780713312,-0.841687095391082
108.2430447609131,-0.008901737314115072,-0.01336621478408969,-0.8434962543917861
108.4426195767075,-0.008783829197533649,-0.01334802287019753,-0.8445190636819184
108.6425623617066,-0.008724622003058218,-0.01339787150142362,-0.846841354255805
108.8428737943594,-0.008644339525696832,-0.01353793173646648,-0.847569707321379
109.0435545543659,-0.008842303839177921,-0.01327512753762629,-0.8493098397269595
109.2446053226793,-0.008737225851479017,-0.01333780575539071,-0.8508220029826112
109.446026781508,-0.008620318432681956,-0.01324783381419437,-0.85276156973691
109.6478196143185,-0.008731600719844104,-0.0133151468908039,-0.8542545029990162
109.8499845058375,-0.008614663901048768,-0.01333796618939769,-0.8555254886929206
110.0525221420542,-0.008635065250243674,-0.01340376688372247,-0.8570746999595109
110.2554332102224,-0.008752296029297094,-0.01323430011852106,-0.8588396583908526
110.458718398863,-0.008610729712093618,-0.0132994839295373,-0.8604865241221369
110.6623783977666,-0.008687452591658941,-0.01332392579585804,-0.8620588237187633
110.8664138979956,-0.008714122803126391,-0.01321966594212193,-0.8631909617158762
111.0708255918864,-0.008700288024508012,-0.01319911713757082,-0.8649600724703607
111.2756141730521,-0.008593343821336977,-0.01345890562133824,-0.8668706381489226
111.4807803363843,-0.008569836785305728,-0.01334269562506877,-0.8682436111893104
111.6863247780561,-0.008572670739694688,-0.01322158890483514,-0.8697809575489777
111.8922481955243,-0.008680949807540901,-0.01327694424716299,-0.8717437551177873
112.0985512875314,-0.008701555440851549,-0.01321234219557831,-0.8733478173200993
112.3052347541083,-0.008529132818780065,-0.01331469453860829,-0.8747410496708827
112.5122992965767,-0.008584978806661486,-0.0132321214637303,-0.8764237165252643
112.719745617551,-0.008737113255068931,-0.01320058405186345,-0.8779006038813932
112.9275744209416,-0.008563228564160752,-0.01312772536413981,-0.8797209734173569
113.1357864119563,-0.008615823312981113,-0.01323993661309569,-0.8812854547461129
113.3443822971034,-0.008621027306245229,-0.0131741580805883,-0.8828724262323611
113.5533627841938,-0.008681406614801357,-0.01293053318060927,-0.8846252403200114
113.7627285823431,-0.008562869741723492,-0.01299000706242085,-0.8858338922252276
113.9724804019749,-0.008415345905476716,-0.01309601370876405,-0.8879675638999981
114.1826189548222,-0.008392880048682621,-0.01300116079418754,-0.8894175941044404
114.3931449539306,-0.008454147985975295,-0.01302251431379532,-0.8906856715552237
114.6040591136603,-0.008315119317678837,-0.01302257516031019,-0.8927766126051804
114.8153621496883,-0.008267681106678486,-0.01305909420925547,-0.8939913418232817
115.0270547790115,-0.008367555606943314,-0.01311287855627566,-0.8957107587323495
115.2391377199487,-0.00845709480940349,-0.01308068559617487,-0.8977322985955443
115.451611692143,-0.008493311559135817,-0.01315736403827808,-0.8993698439809812
115.6644774165646,-0.008454407854131764,-0.01309378320297724,-0.9011904114926349
115.8777356155126,-0.008381420889001734,-0.01311355015614748,-0.9030168130709335
116.0913870126182,-0.008334749144389768,-0.01315349264708281,-0.9040410635660215
116.3054323328467,-0.008431648767458258,-0.01301228333930475,-0.9059960178421747
116.5198723025,-0.008326298671832634,-0.01311861198801934,-0.9076230722544437
116.7347076492193,-0.008524429268083823,-0.01314731780220674,-0.9090972007450727
116.9499391019871,-0.008610727810383897,-0.01315069051972781,-0.9109146554695762
117.1655673911303,-0.008586069221704922,-0.01318416658924944,-0.9124458828617577
117.3815932483221,-0.008540115712003297,-0.01321824980481452,-0.9140149632558032
117.5980174065848,-0.008469089555582791,-0.01327907776372709,-0.9163775302886016
117.8148406002926,-0.008621344720036435,-0.01326708348540818,-0.9181392865018957
118.032063565173,-0.008596753236062986,-0.01323127990853083,-0.9193630293574433
118.2496870383105,-0.008755911836262365,-0.01331564729669673,-0.9211485290227539
118.4677117581485,-0.00845020315027478,-0.0133216332928744,-0.9227109064184775
118.6861384644919,-0.008617082283834168,-0.01321527516314867,-0.9244467094400163
118.9049678985099,-0.008679351461201081,-0.01304144134163293,-0.9261894419537914
119.1242008027375,-0.008652591819183078,-0.0131146848631463,-0.9279440385090598
119.3438379210796,-0.008707072580186286,-0.01307670138317635,-0.9294423806887562
119.5638799988121,-0.008802926937734309,-0.01303618085389334,-0.9311438857241903
119.7843277825855,-0.008793344920957865,-0.01310237581485603,-0.9328168919490023
120.0051820204266,-0.008767476344291928,-0.0131423872107167,-0.9348513611371392
120.2264434617413,-0.008804000464190831,-0.01298856415774193,-0.9364904887510157
120.4481128573176,-0.008706812390971649,-0.01295644404067007,-0.9382599501312529
120.6701909593275,-0.008772401772265811,-0.0131953635483276,-0.9397029743149894
120.89267852133,-0.00880805917883523,-0.01319589673715832,-0.9412836499954871
121.1155762982734,-0.008667107453618872,-0.01328022987955193,-0.9430149410466868
121.3388850464977,-0.008690876765157547,-0.01310867016827375,-0.9448435954278963
121.562605523738,-0.008827998669114864,-0.01300885333993401,-0.9470376645232491
121.7867384891259,-0.008681513268940729,-0.01305702910084898,-0.9485898514195364
122.0112847031931,-0.008596948839393359,-0.01312322534497514,-0.9499334100446337
122.2362449278733,-0.008464918257972642,-0.01312301613236918,-0.9519739579452342
122.4616199265049,-0.008493764825650101,-0.01309442001132961,-0.9538435001445184
122.6874104638341,-0.008518652679008972,-0.01302941733646288,-0.9552915993973727
122.9136173060167,-0.00851053559419826,-0.01309041816603837,-0.9574719895712143
123.1402412206216,-0.008452474870373528,-0.01315551777471873,-0.9589263402512573
123.3672829766326,-0.008684347455159232,-0.0130744307302067,-0.9610580723926347
123.5947433444511,-0.008429911041987356,-0.01322038484970627,-0.9625554143056861
123.8226230958993,-0.008572607733842896,-0.01310745996910318,-0.9643493168051496
124.0509230042225,-0.008747506321044964,-0.01309397614008484,-0.9660874534092393
124.2796438440914,-0.008647601179270378,-0.01308635364711287,-0.9680189205215857
124.5087863916054,-0.008590434577361207,-0.01323620502973623,-0.9695987573087393
124.7383514242943,-0.008661156392849707,-0.0131756393832663,-0.9717045779983753
124.9683397211219,-0.008627778257142706,-0.01316921708092139,-0.9731876792455514
125.1987520624881,-0.008556572281223885,-0.01339014854842572,-0.9748940400657684
125.4295892302318,-0.00854755427126988,-0.01336114611638687,-0.9766910943839573
125.6608520076332,-0.008551843123423953,-0.01332453741488658,-0.9787175000248081
125.8925411794167,-0.008488304987637538,-0.01326984264858626,-0.9803717446718252
126.1246575317538,-0.008609867745195038,-0.01330635176201384,-0.9825904924680179
126.3572018522654,-0.008599589123894759,-0.01320804316279828,-0.9839992370120042
126.5901749300244,-0.008714046149425258,-0.01325758589585273,-0.9857225839155909
126.8235775555589,-0.008488877284767674,-0.01329388081778309,-0.9874617164436261
127.0574105208542,-0.00853887681498243,-0.01322426543646754,-0.9891239941294975
127.291674619356,-0.008318435948658517,-0.01330809297503059,-0.9912730791645989
127.526370645973,-0.008493818644839394,-0.01320490755088428,-0.9930194470840231
127.7614993970795,-0.008549736738941103,-0.0132395389984386,-0.9948609885435286
127.9970616705181,-0.008533083228834311,-0.01328514430822146,-0.9967757662431775
128.2330582656022,-0.008443921407870593,-0.01319321903484083,-0.9987834636525079
128.4694899831193,-0.008245638690701223,-0.01324201201124229,-1.000160118103055
128.7063576253332,-0.00829835248774809,-0.01324080734769183,-1.002749019905416
128.943661995987,-0.008328331546441308,-0.01335285518163495,-1.003864689186642
129.1814039003057,-0.008324979596711397,-0.01334608506616475,-1.00600246880566
129.4195841449986,-0.00850710225581609,-0.01326922078366004,-1.007565210630673
129.6582035382629,-0.008477954123298471,-0.01318210808360901,-1.010338422010571
129.8972628897855,-0.008521647611803067,-0.01321919107669573,-1.011555119926125
130.1367630107464,-0.008615875033305511,-0.01303770609129656,-1.013473835424615
130.3767047138214,-0.008628755243080242,-0.01306588594833847,-1.015644706435078
130.6170888131842,-0.008598440170990923,-0.01311794478704567,-1.017143976955808
130.85791612451,-0.008513267468676854,-0.01306059346910131,-1.019604708687834
131.0991874649777,-0.008584816240050889,-0.01303891701102972,-1.021099942779615
131.3409036532733,-0.008499803397579813,-0.01307540212553933,-1.02277536630301
131.5830655095919,-0.008428091685975388,-0.01313314596787596,-1.024609878566908
131.8256738556407,-0.008472523720246263,-0.01296807212436036,-1.026855461352277
132.0687295146424,-0.00861205647800045,-0.01295134892808606,-1.028496572868963
132.3122333113371,-0.008633311773496006,-0.01306579261073153,-1.030206064580452
132.5561860719858,-0.008588528320821864,-0.01288042524158233,-1.032333934867792
132.8005886243731,-0.00848577793188841,-0.01301736760402013,-1.033979898055897
133.0454417978092,-0.008482740090702524,-0.01311246187940023,-1.035665190280725
133.2907464231338,-0.008441602601086224,-0.01307899476232149,-1.038007657595576
133.5365033327186,-0.008401386015322344,-0.01329297718788389,-1.040012249791328
133.7827133604697,-0.008517828252397113,-0.01320639030811566,-1.041860388557159
134.029377341831,-0.008545166233610719,-0.01313521008113015,-1.043601110008684
134.2764961137864,-0.008603566762400296,-0.01307002027364278,-1.046913107166068
134.5240705148633,-0.008581797344655168,-0.01298659326318371,-1.04616773775141
134.772101385135,-0.008459678463089778,-0.01322614795097269,-1.048789009008094
135.0205895662239,-0.008504272316109281,-0.01324730692109843,-1.051347186873804
135.269535901304,-0.008354449750811687,-0.01330316315541526,-1.053899886108456
135.5189412351036,-0.008238079226916453,-0.01337068945808378,-1.055316842614448
135.7688064139092,-0.008458011990889889,-0.01330642854823266,-1.057697050212974
136.0191322855671,-0.008282311851237645,-0.01335517783168928,-1.059059998318074
136.2699196994869,-0.008327134748446093,-0.01342002836300537,-1.061094807081188
136.5211695066447,-0.008345371973388098,-0.0131995158669117,-1.063480566841324
136.7728825595849,-0.008290327924313213,-0.01318187150500731,-1.065215981345662
137.0250597124245,-0.008352862772923918,-0.01316473114571936,-1.067278201710395
137.2777018208549,-0.008345407932836904,-0.01330095704176633,-1.069069746039764
137.5308097421452,-0.008310883294610863,-0.01324207292014399,-1.070560174694249
137.7843843351453,-0.008371506609271844,-0.01325245200170739,-1.072719433837702
138.0384264602885,-0.008486181382322046,-0.01317201146733579,-1.074620995729234
138.2929369795945,-0.008471927198963036,-0.01306746917326741,-1.077312570715701
138.5479167566723,-0.008538624292226108,-0.01297469476336714,-1.078899999175695
138.8033666567234,-0.008588861779171307,-0.013116926942651,-1.081070916413263
139.0592875465446,-0.008244487351181207,-0.01316312436878345,-1.083075257356105
139.3156802945304,-0.008235183476910931,-0.01306660405191947,-1.084924829574315
139.5725457706768,-0.008286356816619,-0.01315853006774193,-1.086970398063653
139.8298848465837,-0.008236147427036933,-0.0132881619271981,-1.089023685625601
140.0876983954583,-0.008317088789271046,-0.01327001144193983,-1.090753985368383
140.3459872921175,-0.008150299124956439,-0.01345720266123443,-1.09279341113805
140.6047524129914,-0.008213365126092057,-0.01329619536365915,-1.095100502374281
140.8639946361256,-0.00842438043274334,-0.01306976700470671,-1.096910098309406
141.1237148411851,-0.008242379464477484,-0.01325883052201364,-1.099407872936818
141.3839139094564,-0.008318138328836475,-0.01334668606684075,-1.102126684604955
141.6445927238514,-0.008354101878731923,-0.01316703882616175,-1.101035831674026
141.9057521689093,-0.008252904672218613,-0.01342348884126732,-1.103985790882877
142.1673931308004,-0.008457911392586346,-0.01331877061430291,-1.105799739237526
142.429516497329,-0.008357278800229203,-0.01325377387319402,-1.109497796024351
142.6921231579364,-0.008405414236394734,-0.01346964690654913,-1.111146016452813
142.9552140037034,-0.008215330276069476,-0.01358383022627331,-1.112597769309792
143.2187899273544,-0.008403536360818793,-0.01336700590781657,-1.115524072962618
143.4828518232589,-0.008466891320585954,-0.0134057753003336,-1.117471816491224
143.7474005874361,-0.00851685788208676,-0.01347900468872981,-1.119542873056727
144.012437117557,-0.008495875896322821,-0.0134389507063737,-1.121165702938626
144.2779623129479,-0.008516639061213676,-0.01354520349888494,-1.123329146675639
144.5439770745928,-0.008296513438822692,-0.01358817520878756,-1.125429504865403
144.8104823051373,-0.008276294071202471,-0.01364857502028895,-1.12746413522467
145.0774789088911,-0.00837123203423642,-0.01370332885238519,-1.129997328769964
145.3449677918314,-0.008348204099189184,-0.0136199057365902,-1.131719752491721
145.6129498616056,-0.008269923042369639,-0.01355435593291689,-1.133756333714713
145.8814260275349,-0.008284382743990584,-0.01345728870790386,-1.136122220734746
146.1503972006165,-0.008430266327909899,-0.01340322057027955,-1.137494142366743
146.4198642935277,-0.008295534497500468,-0.0133462666234824,-1.139931051059512
146.6898282206286,-0.008087089348960979,-0.01353877311057674,-1.142076081772258
146.960289897965,-0.008131511625224573,-0.01344984903969979,-1.144089305083793
147.2312502432719,-0.0079470639239527,-0.01361582486460322,-1.146307378776806
147.5027101759759,-0.007995307027266779,-0.01365130949986923,-1.148080934879961
147.7746706171993,-0.008127364787164084,-0.01341934432811917,-1.150695801905201
148.0471324897625,-0.008208615698328616,-0.01342090544408153,-1.152070150120666
148.3200967181874,-0.008226222623417665,-0.01352257456094507,-1.155155150004288
148.5935642287007,-0.008375953633924021,-0.01352165868392937,-1.157331134772188
148.8675359492364,-0.008275902381333761,-0.01353949312199144,-1.15869247163717
149.1420128094398,-0.008088830255654864,-0.01354680398274868,-1.161211482741519
149.4169957406701,-0.008209283504723438,-0.01357704905332211,-1.162599907940758
149.6924856760036,-0.008274957605985277,-0.01330697377691863,-1.166433735955769
149.9684835502374,-0.008348390166648338,-0.01348420461560036,-1.165022678353254
150.2449902998914,-0.00823656837579066,-0.01372019227927564,-1.166315942555434
150.522006863213,-0.008436056369653529,-0.01328049722144841,-1.171665467542548
150.7995341801789,-0.008312356180069721,-0.01360104429056738,-1.173225735282896
151.0775731924994,-0.008368855351973214,-0.0134611888455184,-1.17614882843352
151.3561248436209,-0.00831764105668934,-0.01350509822398682,-1.179112199164304
151.6351900787289,-0.00838711180363871,-0.01350057274285127,-1.180251166413748
151.9147698447522,-0.00840622967982857,-0.01334429255010464,-1.182718301212965
152.1948650903652,-0.008603597351251588,-0.01339086339987068,-1.18518033951563
152.4754767659915,-0.008509745207949525,-0.01337918898915723,-1.186913250037958
