#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2NI
#Serial Number: SN:210321AD1509
#Date Time: 2021-10-14 15:41:16.473
#Sample rate: 2.5e+07Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 100 ns
#Average: 10000
#Channel 1: Range: 250 mV/div Offset: 0 V Attenuation: 1 X
#Channel 2: Range: 250 mV/div Offset: 0 V Attenuation: 1 X
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Square
#Frequency: 100 Hz
#Period: 10 ms
#Amplitude: 1 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

#Time (s),Channel 1 (V),Channel 2 (V)
-0.00016384,-1.00133286713995,-1.003777566084514
-0.0001638,-1.00192003612392,-1.003777566084514
-0.00016376,-1.001122602476976,-1.00348217911303
-0.00016372,-1.000704038241391,-1.003735650396303
-0.00016368,-1.001249547311053,-1.004072953055726
-0.00016364,-1.00192003612392,-1.003524094801134
-0.0001636,-1.001416186969253,-1.003735650396303
-0.00016356,-1.00192003612392,-1.003186792141781
-0.00016352,-1.002003355952915,-1.003693734708533
-0.00016348,-1.001416186969253,-1.003777566084514
-0.00016344,-1.000745698156013,-1.00348217911303
-0.0001634,-1.000368793835113,-1.003144876453608
-0.00016336,-1.001795056380309,-1.00310296076546
-0.00016332,-1.001709771460854,-1.00339834773695
-0.00016328,-1.002255280530512,-1.003440263424813
-0.00016324,-1.002045015867533,-1.002849489482118
-0.0001632,-1.001416186969253,-1.00306104507762
-0.00016316,-1.001039282647981,-1.00310296076546
-0.00016312,-1.000704038241391,-1.00339834773695
-0.00016308,-1.001249547311052,-1.002554102510868
-0.00016304,-1.000745698156013,-1.003019129389755
-0.000163,-1.002717469770889,-1.00310296076546
-0.00016296,-1.002715504680778,-1.002512186822765
-0.00016292,-1.001499506797876,-1.003314516360967
-0.00016288,-1.00133286713995,-1.002849489482118
-0.00016284,-1.002213620615889,-1.00306104507762
-0.0001628,-1.001751431375535,-1.00339834773695
-0.00016276,-1.000787358070694,-1.002849489482118
-0.00016272,-1.000955962819008,-1.002765658106038
-0.00016268,-1.00158479171733,-1.00306104507762
-0.00016264,-1.000787358070694,-1.00339834773695
-0.0001626,-1.001249547311053,-1.003735650396303
-0.00016256,-1.00045211366401,-1.003186792141781
