#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2NI
#Serial Number: SN:210321AD1509
#Date Time: 2021-10-15 06:55:44.773
#Start: 10 Hz
#Stop: 1e+06 Hz
#Steps: 10001
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.49264 V
#Offset: 0.000293069 V
#Relative: no
#Channel: Channel 2
#Range: 5.52637 V
#Offset: 0.000302154 V
#Relative: yes

#Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
10,-0.007945438665662391,-38.3844902863266,88.47977403220148
10.01151955538168,-0.008189780616424341,-38.37388980403946,88.47321340954076
10.02305238077898,-0.008095515628962064,-38.36419407749603,88.45243740899552
10.03459849147839,-0.00793266333780244,-38.35581971376791,88.45908874130041
10.04615790278395,-0.007829522779277573,-38.3414791671151,88.44682378384448
10.05773063001737,-0.007698306025972426,-38.331294261424,88.46444907016723
10.06931668851804,-0.00761973414718037,-38.32173581175543,88.48309922492558
10.08091609364295,-0.00787916628016168,-38.31204901218933,88.47184349706495
10.09252886076685,-0.007797235040937754,-38.30558470806595,88.47260716771241
10.10415500528214,-0.007814524903407654,-38.29311802442406,88.45906053513879
10.11579454259898,-0.007719983317151496,-38.2824855828447,88.44344966122692
10.1274474881453,-0.007610172873552309,-38.27398736374626,88.4437647381783
10.1391138573668,-0.007623912873070897,-38.26259271649603,88.46814892040592
10.15079366572691,-0.007813202448257686,-38.25192967993197,88.44032965767303
10.16248692870695,-0.007811305876960687,-38.24318198013978,88.43562368527387
10.17419366180603,-0.007740002254676783,-38.23281688203245,88.45453105228043
10.18591388054117,-0.008009208213145561,-38.22815218675303,88.4380466341091
10.19764760044716,-0.008096135398170829,-38.21515263306951,88.43885931937896
10.20939483707681,-0.007882448235063785,-38.2080872427419,88.4250144854509
10.22115560600072,-0.007772018326390311,-38.19306081849523,88.44639156376896
10.23292992280754,-0.007709066937808171,-38.18783309226224,88.43130033054018
10.24471780310382,-0.007766117371524139,-38.17154916321967,88.41709002691375
10.25651926251408,-0.007904095482086208,-38.16670142077018,88.41632676413069
10.26833431668086,-0.008009657912161161,-38.15560644983397,88.42448607861122
10.28016298126473,-0.007901671468071435,-38.143091559472,88.41019428857147
10.29200527194427,-0.00799752566746488,-38.13223848346095,88.42296299288105
10.30386120441616,-0.007903017116536,-38.12642230320439,88.4213253847566
10.31573079439512,-0.007934935115424769,-38.11547786127042,88.42480150587176
10.32761405761398,-0.00786483773635325,-38.10139297297918,88.42019781305795
