#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2NI
#Serial Number: SN:210321AD1509
#Date Time: 2021-11-24 23:29:41.986

Time (s),Channel 2 (V)
-4.096e-05,-3.514193170164095
-4.095e-05,-3.514157919774906
-4.094e-05,-3.514174078823033
-4.093e-05,-3.514257374716034
-4.092e-05,-3.514317348736071
-4.091e-05,-3.514278216438693
-4.09e-05,-3.514234307606318
-4.089e-05,-3.514343873898546
-4.088e-05,-3.514340014416675
-4.087e-05,-3.514374175385191
-4.086e-05,-3.514276931274097
-4.085e-05,-3.514162086723144
-4.084e-05,-3.514244129374138
-4.083e-05,-3.514287219394794
-4.082e-05,-3.514281370152205
-4.081e-05,-3.514273929840137
-4.08e-05,-3.514226505080815
-4.079e-05,-3.514282728319209
-4.078e-05,-3.514249766621672
-4.077e-05,-3.514248173352121
-4.076e-05,-3.514281497845285
-4.075e-05,-3.514176622167983
-4.074e-05,-3.514217695741546
-4.073e-05,-3.514235919936114
-4.072e-05,-3.514290079563601
-4.071e-05,-3.514255103453243
-4.07e-05,-3.514317593058907
-4.069e-05,-3.514365738345067
-4.068e-05,-3.514300101194875
-4.067e-05,-3.514282920488113
-4.066e-05,-3.514270815438526
-4.065e-05,-3.514278998206511
-4.064e-05,-3.514378755525402
-4.063e-05,-3.514339240008041
-4.062e-05,-3.514209814559643
-4.061e-05,-3.514270770716519
-4.06e-05,-3.514455747985082
-4.059e-05,-3.514358745265898
-4.058e-05,-3.514340517798207
-4.057e-05,-3.514419443230204
-4.056e-05,-3.51437721257785
-4.055e-05,-3.514357955131919
-4.054e-05,-3.514338965122825
-4.053e-05,-3.514276274720059
-4.052e-05,-3.514234410327291
-4.051e-05,-3.514360634217687
-4.05e-05,-3.51445743585532
-4.049e-05,-3.514457112311474
-4.048e-05,-3.514391489902126
-4.047e-05,-3.51437807417883
-4.046e-05,-3.514349573788501
-4.045e-05,-3.51439431934184
-4.044e-05,-3.514387995560242
-4.043e-05,-3.514351717797571
-4.042e-05,-3.514296179059196
-4.041e-05,-3.514377449765549
-4.04e-05,-3.514422542629024
-4.039e-05,-3.514370830994427
-4.038e-05,-3.514342117551605
-4.037e-05,-3.514435294860563
-4.036e-05,-3.514310368375832
-4.035e-05,-3.514213862680522
-4.034e-05,-3.514370192688699
-4.033e-05,-3.514400234235118
-4.032e-05,-3.514381312980222
-4.031e-05,-3.514395988718518
-4.03e-05,-3.514341280618958
-4.029e-05,-3.514218231380086
-4.028e-05,-3.514245081066106
-4.027e-05,-3.514355106556756
-4.026e-05,-3.514304545402343
-4.025e-05,-3.514309073564637
-4.024e-05,-3.514422994620352
-4.023e-05,-3.514332357702925
-4.022e-05,-3.514316474887453
-4.021e-05,-3.514316891420778
-4.02e-05,-3.51414494017859
-4.019e-05,-3.514188389715486
-4.018e-05,-3.514238227091574
-4.017e-05,-3.514198720301283
-4.016e-05,-3.514276839892623
-4.015e-05,-3.514284243932445
-4.014e-05,-3.514250860472696
-4.013e-05,-3.514237216480087
-4.012e-05,-3.514240598446047
-4.011e-05,-3.514264483124701
-4.01e-05,-3.514094249599822
-4.009e-05,-3.514199152983261
-4.008e-05,-3.514500162076081
-4.007e-05,-3.514355087835199
-4.006e-05,-3.514194014077638
-4.005e-05,-3.514322929236174
-4.004e-05,-3.514489505046567
-4.003e-05,-3.514473464585139
-4.002e-05,-3.514470123450836
-4.001e-05,-3.514396977200637
-4e-05,-3.514310289055619
-3.999e-05,-3.514327323566979
