#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2NI
#Serial Number: SN:210321AD1509
#Date Time: 2021-11-24 23:01:30.880

Time (s),Channel 2 (V)
-4.096e-05,-0.02701676770286858
-4.095e-05,-0.02783111892496577
-4.094e-05,-0.0278203502009213
-4.093e-05,-0.02690611577570827
-4.092e-05,-0.02720989605622476
-4.091e-05,-0.02767881883388693
-4.09e-05,-0.02798831854984905
-4.089e-05,-0.02824310827788425
-4.088e-05,-0.0271921997179816
-4.087e-05,-0.02747283798319533
-4.086e-05,-0.02642919899417552
-4.085e-05,-0.02768433199180296
-4.084e-05,-0.02756596262673634
-4.083e-05,-0.02676807037051574
-4.082e-05,-0.02719656627909614
-4.081e-05,-0.02725712609249846
-4.08e-05,-0.02736936629949428
-4.079e-05,-0.02746354945030811
-4.078e-05,-0.0270776677855189
-4.077e-05,-0.02667510945246231
-4.076e-05,-0.02618797263586516
-4.075e-05,-0.02665620347502764
-4.074e-05,-0.02819138207068782
-4.073e-05,-0.02738221846925334
-4.072e-05,-0.02718936997907552
-4.071e-05,-0.02690017767900971
-4.07e-05,-0.02750454232352383
-4.069e-05,-0.02871045355408093
-4.068e-05,-0.02825048958605535
-4.067e-05,-0.02858205888214689
-4.066e-05,-0.02791127778154775
-4.065e-05,-0.02846067838538493
-4.064e-05,-0.02772935804650131
-4.063e-05,-0.02779101825982142
-4.062e-05,-0.02713318374455016
-4.061e-05,-0.02613431874805947
-4.06e-05,-0.02745177896448704
-4.059e-05,-0.02778235593087893
-4.058e-05,-0.02743071917286058
-4.057e-05,-0.02804098806389064
-4.056e-05,-0.02707419714526807
-4.055e-05,-0.02751965712876609
-4.054e-05,-0.02769653543064494
-4.053e-05,-0.02596319506719177
-4.052e-05,-0.02659334354142008
-4.051e-05,-0.02715309462244556
-4.05e-05,-0.02676767039298952
-4.049e-05,-0.02666212164015255
-4.048e-05,-0.02688625010612637
-4.047e-05,-0.02692786895244662
-4.046e-05,-0.02784960014885257
-4.045e-05,-0.02705176101746368
-4.044e-05,-0.02741834670394375
-4.043e-05,-0.02734473305155928
-4.042e-05,-0.02705041040453073
-4.041e-05,-0.02663494365512854
-4.04e-05,-0.02720268252287086
-4.039e-05,-0.02666668222617576
-4.038e-05,-0.02770481485031606
-4.037e-05,-0.02720323574927552
-4.036e-05,-0.0273204191172519
-4.035e-05,-0.02733167524476683
-4.034e-05,-0.02684339401345929
-4.033e-05,-0.02806155609012602
-4.032e-05,-0.02646197133660096
-4.031e-05,-0.02735170253587887
-4.03e-05,-0.02722955266979867
-4.029e-05,-0.02773972563345927
-4.028e-05,-0.02729747253079665
-4.027e-05,-0.0271633906633748
-4.026e-05,-0.02760686223587148
-4.025e-05,-0.02663380627321935
-4.024e-05,-0.02740789729448427
-4.023e-05,-0.02728427795052813
-4.022e-05,-0.02810567078184593
-4.021e-05,-0.02710528575371843
-4.02e-05,-0.02708818146413297
-4.019e-05,-0.02789947091746186
-4.018e-05,-0.02766594928561811
-4.017e-05,-0.02738329592814853
-4.016e-05,-0.02880997816899913
-4.015e-05,-0.02797833860273382
-4.014e-05,-0.02726290744712997
-4.013e-05,-0.02665030571328927
-4.012e-05,-0.02766552678670983
-4.011e-05,-0.02785629733155175
-4.01e-05,-0.02791471063945325
-4.009e-05,-0.02735163343950521
-4.008e-05,-0.02728356217143124
-4.007e-05,-0.02733768099083583
-4.006e-05,-0.02808176971307725
-4.005e-05,-0.02888321716613708
-4.004e-05,-0.02801624696046154
-4.003e-05,-0.02807167421878709
-4.002e-05,-0.02793200208223252
-4.001e-05,-0.02786066264820069
-4e-05,-0.0273193497593216
-3.999e-05,-0.02718218604700455
-3.998e-05,-0.02698366532250788
-3.997e-05,-0.02714724857728856
-3.996e-05,-0.02679060877187295
-3.995e-05,-0.02802915880340077
-3.994e-05,-0.02743075353675621
-3.993e-05,-0.02858207700281492
-3.992e-05,-0.02751175949079696
-3.991e-05,-0.02778138746701837
-3.99e-05,-0.02776663930996195
-3.989e-05,-0.02791870167328784
-3.988e-05,-0.02819160053634402
-3.987e-05,-0.02916175474912873
-3.986e-05,-0.0284507920909717
-3.985e-05,-0.02988360368385142
-3.984e-05,-0.02914996368027179
-3.983e-05,-0.0278394768574552
-3.982e-05,-0.02813245432519659
-3.981e-05,-0.0280290273786804
-3.98e-05,-0.02769363712534728
-3.979e-05,-0.02773296788754502
-3.978e-05,-0.02879630040858575
-3.977e-05,-0.02841712815911106
-3.976e-05,-0.02902725558445413
-3.975e-05,-0.02777566091006028
-3.974e-05,-0.02842311375467535
-3.973e-05,-0.02680586586650168
-3.972e-05,-0.02707107731750437
-3.971e-05,-0.02762064716594793
-3.97e-05,-0.02796988707950524
-3.969e-05,-0.02782128229141307
-3.968e-05,-0.02814195620135847
-3.967e-05,-0.02927236770618264
-3.966e-05,-0.02820368659152486
-3.965e-05,-0.02847925664057137
-3.964e-05,-0.02847407098666453
-3.963e-05,-0.02863196493766713
-3.962e-05,-0.02892430093995191
-3.961e-05,-0.02854838693555338
-3.96e-05,-0.02691848127720346
-3.959e-05,-0.02706648525674606
-3.958e-05,-0.02760346230377063
-3.957e-05,-0.02735349255915868
-3.956e-05,-0.02804197439260192
-3.955e-05,-0.02796809834429826
-3.954e-05,-0.02837054957974477
-3.953e-05,-0.02754780881926629
-3.952e-05,-0.02753926835410631
-3.951e-05,-0.02804006689416094
-3.95e-05,-0.02658002153071521
-3.949e-05,-0.0272986231563525
-3.948e-05,-0.02761312126940666
-3.947e-05,-0.02866139846308266
-3.946e-05,-0.02764529052332671
-3.945e-05,-0.02709511181894879
-3.944e-05,-0.02762611492275631
-3.943e-05,-0.02846840896543888
-3.942e-05,-0.02804486689800945
-3.941e-05,-0.02943071416398987
-3.94e-05,-0.02877153885485972
-3.939e-05,-0.02705652915828318
-3.938e-05,-0.02751890925834615
-3.937e-05,-0.02773910514120784
-3.936e-05,-0.02739443582100804
-3.935e-05,-0.02844764236405047
-3.934e-05,-0.02867471094724732
-3.933e-05,-0.02784711070889311
-3.932e-05,-0.0274058797492077
-3.931e-05,-0.02622594486416739
-3.93e-05,-0.02730409852898841
-3.929e-05,-0.02743219612478482
-3.928e-05,-0.02769735849859531
-3.927e-05,-0.02922159129848292
-3.926e-05,-0.02864702948376352
-3.925e-05,-0.0277731996786655
-3.924e-05,-0.02727384427447587
-3.923e-05,-0.02610755947721234
-3.922e-05,-0.02664079717806446
-3.921e-05,-0.02706627751873238
-3.92e-05,-0.02672016848913264
-3.919e-05,-0.0261890666258916
-3.918e-05,-0.02767819614624351
-3.917e-05,-0.02776175168529227
-3.916e-05,-0.02682414129056676
-3.915e-05,-0.0277599528511496
-3.914e-05,-0.02808296796777061
-3.913e-05,-0.02782819886757939
-3.912e-05,-0.02737030847890925
-3.911e-05,-0.02682289385386296
-3.91e-05,-0.02646753429966132
-3.909e-05,-0.02671867717871488
-3.908e-05,-0.02791524678814098
-3.907e-05,-0.02828671940659687
-3.906e-05,-0.02744627656883915
-3.905e-05,-0.02819009818844432
-3.904e-05,-0.02776343235610994
-3.903e-05,-0.02757894716761322
-3.902e-05,-0.02658670548916194
-3.901e-05,-0.02759680015139976
-3.9e-05,-0.0279209407469895
-3.899e-05,-0.02709208374657522
-3.898e-05,-0.02799768826056963
-3.897e-05,-0.0277933793051124
-3.896e-05,-0.02805138870173997
-3.895e-05,-0.0276989624052081
-3.894e-05,-0.02604546846949753
-3.893e-05,-0.02754337164693658
-3.892e-05,-0.02765718006696226
-3.891e-05,-0.02781096402132788
-3.89e-05,-0.02652124981264855
-3.889e-05,-0.02549929910957468
-3.888e-05,-0.02631953275692307
-3.887e-05,-0.0273441998231745
-3.886e-05,-0.02712551172259969
-3.885e-05,-0.0265483459357127
-3.884e-05,-0.02566832952364975
-3.883e-05,-0.02660417558901056
-3.882e-05,-0.02685749067053396
-3.881e-05,-0.02615769062988386
-3.88e-05,-0.02690335334655329
-3.879e-05,-0.02763180580169811
-3.878e-05,-0.0271966725575022
-3.877e-05,-0.02678696233067442
-3.876e-05,-0.02692247599223375
-3.875e-05,-0.02845092964033066
-3.874e-05,-0.02561366645337766
-3.873e-05,-0.02625254341857625
-3.872e-05,-0.02716556206945151
-3.871e-05,-0.02727945940401193
-3.87e-05,-0.02561085559787251
-3.869e-05,-0.02705371008753258
-3.868e-05,-0.02823533176274005
-3.867e-05,-0.02790267434049097
-3.866e-05,-0.02675167793096185
-3.865e-05,-0.02756527945158441
-3.864e-05,-0.02597946365688094
-3.863e-05,-0.02695678413388339
-3.862e-05,-0.02744777830232281
-3.861e-05,-0.02709903987392705
-3.86e-05,-0.026377261858649
-3.859e-05,-0.02711742931426239
-3.858e-05,-0.02741633267593676
-3.857e-05,-0.02635327923191802
-3.856e-05,-0.02741217919281157
-3.855e-05,-0.02811710249310095
-3.854e-05,-0.02651784501526611
-3.853e-05,-0.02679201134543975
-3.852e-05,-0.0256268140354722
-3.851e-05,-0.02628519483305905
-3.85e-05,-0.02672895398491388
-3.849e-05,-0.0276183999629952
-3.848e-05,-0.02720585744990397
-3.847e-05,-0.02581105821700886
-3.846e-05,-0.02627219146472863
-3.845e-05,-0.02742065396476992
-3.844e-05,-0.02748014965955134
-3.843e-05,-0.02724659931294149
-3.842e-05,-0.0268462101719328
-3.841e-05,-0.02816237095967574
-3.84e-05,-0.02619905318269168
-3.839e-05,-0.02675933295657057
-3.838e-05,-0.02701954299277606
-3.837e-05,-0.02638820887414978
-3.836e-05,-0.02704649778439496
-3.835e-05,-0.02688588628692356
-3.834e-05,-0.02687695114692681
-3.833e-05,-0.02731032403991225
-3.832e-05,-0.02797058676943032
-3.831e-05,-0.02802349819617109
-3.83e-05,-0.02789358695729127
-3.829e-05,-0.02684821239748338
-3.828e-05,-0.02728221767174039
-3.827e-05,-0.02676109213480236
-3.826e-05,-0.02489512345648221
-3.825e-05,-0.02707284576671946
-3.824e-05,-0.02625484900527861
-3.823e-05,-0.0264873227113864
-3.822e-05,-0.02745406079612957
-3.821e-05,-0.02718437502753355
-3.82e-05,-0.02685401896231925
-3.819e-05,-0.02704827370736501
-3.818e-05,-0.02749853743839369
-3.817e-05,-0.02595709557089668
-3.816e-05,-0.02711821586174429
-3.815e-05,-0.02721469324723683
-3.814e-05,-0.02558978382421874
-3.813e-05,-0.02657413577670415
-3.812e-05,-0.02681755574171996
-3.811e-05,-0.02640522697088554
-3.81e-05,-0.02574978155115366
-3.809e-05,-0.02631559288067449
-3.808e-05,-0.02599118959093635
-3.807e-05,-0.02691018752497709
-3.806e-05,-0.0274106424023416
-3.805e-05,-0.02595570446002694
-3.804e-05,-0.02572046517122629
-3.803e-05,-0.02557389216176358
-3.802e-05,-0.02565230543678638
-3.801e-05,-0.02644827380716453
-3.8e-05,-0.02591354907196648
-3.799e-05,-0.02591541485864783
-3.798e-05,-0.02655204568994766
-3.797e-05,-0.02737124499265259
-3.796e-05,-0.02705740544580892
-3.795e-05,-0.02692422294871863
-3.794e-05,-0.02800175129029721
-3.793e-05,-0.02680054321935316
-3.792e-05,-0.02648766305728518
-3.791e-05,-0.02750007268170878
-3.79e-05,-0.02745977447248454
-3.789e-05,-0.02786510825971626
-3.788e-05,-0.02703018922311546
-3.787e-05,-0.0278382242022351
-3.786e-05,-0.02661111010816673
-3.785e-05,-0.02745616975217892
-3.784e-05,-0.027716822971809
-3.783e-05,-0.02737028840466861
-3.782e-05,-0.02702976922756921
-3.781e-05,-0.02777685236632491
-3.78e-05,-0.02691267617670433
-3.779e-05,-0.02755011098692905
-3.778e-05,-0.02691787940771576
-3.777e-05,-0.02671839233056453
-3.776e-05,-0.02704766791061136
-3.775e-05,-0.0281257730234395
-3.774e-05,-0.02647439447093808
-3.773e-05,-0.0270694116394234
-3.772e-05,-0.02732503486736089
-3.771e-05,-0.02789178629007276
-3.77e-05,-0.02757880299197196
-3.769e-05,-0.02666061099533605
-3.768e-05,-0.02587535369412524
-3.767e-05,-0.02692230989732338
-3.766e-05,-0.02614510564806881
-3.765e-05,-0.02668475186555647
-3.764e-05,-0.02748411220126208
-3.763e-05,-0.0270180274896717
-3.762e-05,-0.02803918406711381
-3.761e-05,-0.02743312365904491
-3.76e-05,-0.02706150296916511
-3.759e-05,-0.02737998892599446
-3.758e-05,-0.02576125351471398
-3.757e-05,-0.02684458975660431
-3.756e-05,-0.02686485159404265
-3.755e-05,-0.02678071833804966
-3.754e-05,-0.02772300642813016
-3.753e-05,-0.02822022182433993
-3.752e-05,-0.02860645382322237
-3.751e-05,-0.02714725374426882
-3.75e-05,-0.02722043901610666
-3.749e-05,-0.02662394824721703
-3.748e-05,-0.02717269590285728
-3.747e-05,-0.02750977248052035
-3.746e-05,-0.02682151654415948
-3.745e-05,-0.02671374155905452
-3.744e-05,-0.0274600651786764
-3.743e-05,-0.02752883898101959
-3.742e-05,-0.02810914961146753
-3.741e-05,-0.02783872197801967
-3.74e-05,-0.02788055806131941
-3.739e-05,-0.02827123507456911
-3.738e-05,-0.02772373282100065
-3.737e-05,-0.02855379820740665
-3.736e-05,-0.02820809975084472
-3.735e-05,-0.02762997656386338
-3.734e-05,-0.0277632030885882
-3.733e-05,-0.02842958833047305
-3.732e-05,-0.02781571984448951
-3.731e-05,-0.02762919267989828
-3.73e-05,-0.02810495419221273
-3.729e-05,-0.02769052267955168
-3.728e-05,-0.02706755399755696
-3.727e-05,-0.0271083665341848
-3.726e-05,-0.02837785529780197
-3.725e-05,-0.02793225148754035
-3.724e-05,-0.02836936231307428
-3.723e-05,-0.02801759578489801
-3.722e-05,-0.02860382903875499
-3.721e-05,-0.02766522028372826
-3.72e-05,-0.02748785454355814
-3.719e-05,-0.02778415809652922
-3.718e-05,-0.02770644447880314
-3.717e-05,-0.02746639271099342
-3.716e-05,-0.02639122318125081
-3.715e-05,-0.02714330699404162
-3.714e-05,-0.02627550749822365
-3.713e-05,-0.02692605857861204
-3.712e-05,-0.02693613777861252
-3.711e-05,-0.02668124357965448
-3.71e-05,-0.02653048159422773
-3.709e-05,-0.02819991159047559
-3.708e-05,-0.02742025315371703
-3.707e-05,-0.02664587826251619
-3.706e-05,-0.02625124605301674
-3.705e-05,-0.02728839744450495
-3.704e-05,-0.02732229636836426
-3.703e-05,-0.02614334655982578
-3.702e-05,-0.02702422802689432
-3.701e-05,-0.02684375588665145
-3.7e-05,-0.02675344242383859
-3.699e-05,-0.02571685286919372
-3.698e-05,-0.02540972561283437
-3.697e-05,-0.02631400030613209
-3.696e-05,-0.02602019300978215
-3.695e-05,-0.02558988905973506
-3.694e-05,-0.0258422609023196
-3.693e-05,-0.0270240596418709
-3.692e-05,-0.02763030081222583
-3.691e-05,-0.02699078787925189
-3.69e-05,-0.02711880343190244
-3.689e-05,-0.02562850681910139
-3.688e-05,-0.02721725141092644
-3.687e-05,-0.02705029378084656
-3.686e-05,-0.02672770783739125
-3.685e-05,-0.02688291697040433
-3.684e-05,-0.02772084611194872
-3.683e-05,-0.02752873206825867
-3.682e-05,-0.02684219074156164
-3.681e-05,-0.02687950863324523
-3.68e-05,-0.02644212074902776
-3.679e-05,-0.02625249686775094
-3.678e-05,-0.02681011656010855
-3.677e-05,-0.02715811554800382
-3.676e-05,-0.02694563106408181
-3.675e-05,-0.02726632286865954
-3.674e-05,-0.02633592736795348
-3.673e-05,-0.02662520956455492
-3.672e-05,-0.02570239838138133
-3.671e-05,-0.02704055661424822
-3.67e-05,-0.02734467758749016
-3.669e-05,-0.02752646635510271
-3.668e-05,-0.02692781636108002
-3.667e-05,-0.02721132967809626
-3.666e-05,-0.02637385061698657
-3.665e-05,-0.02660775679038193
-3.664e-05,-0.02832481189449125
-3.663e-05,-0.0273309422827012
-3.662e-05,-0.02684277692898818
-3.661e-05,-0.02689239357529979
-3.66e-05,-0.02617517574204118
-3.659e-05,-0.02655839988839091
-3.658e-05,-0.0264339511286538
-3.657e-05,-0.0266261934354806
-3.656e-05,-0.02673971254789707
-3.655e-05,-0.0281004376015161
-3.654e-05,-0.02670157374109736
-3.653e-05,-0.02717510696612191
-3.652e-05,-0.02766648238776905
-3.651e-05,-0.02758523194509946
-3.65e-05,-0.02731418694072144
-3.649e-05,-0.02748556690088711
-3.648e-05,-0.02745622316206202
-3.647e-05,-0.0269768038334429
-3.646e-05,-0.02664196588712965
-3.645e-05,-0.02644273617770483
-3.644e-05,-0.02690165324600613
-3.643e-05,-0.02674344449838047
-3.642e-05,-0.0261882466207007
-3.641e-05,-0.02601610931019656
-3.64e-05,-0.02611843063395481
-3.639e-05,-0.02749210244774962
-3.638e-05,-0.02732466879076519
-3.637e-05,-0.02736538224782795
-3.636e-05,-0.02658757625798577
-3.635e-05,-0.02650010546118338
-3.634e-05,-0.02579986798293067
-3.633e-05,-0.02606571749713901
-3.632e-05,-0.02667799935491131
-3.631e-05,-0.02668124909283884
-3.63e-05,-0.02698948661493761
-3.629e-05,-0.02806590419451197
-3.628e-05,-0.02653887713802769
-3.627e-05,-0.02690954900545017
-3.626e-05,-0.02689963400336691
-3.625e-05,-0.02633847321149763
-3.624e-05,-0.02771284583502684
-3.623e-05,-0.02751528812526465
-3.622e-05,-0.02723262551731459
-3.621e-05,-0.02763429650103673
-3.62e-05,-0.02656771766746926
-3.619e-05,-0.02616851612807394
-3.618e-05,-0.02641972881126702
-3.617e-05,-0.02848895531286304
-3.616e-05,-0.02831671500651346
-3.615e-05,-0.02698912374824392
-3.614e-05,-0.02709514834440393
-3.613e-05,-0.02669880541656904
-3.612e-05,-0.02639604019668878
-3.611e-05,-0.02674728527146396
-3.61e-05,-0.02621590931121313
-3.609e-05,-0.02646446869046379
-3.608e-05,-0.02771755049433109
-3.607e-05,-0.02635173298134684
-3.606e-05,-0.02571500227741994
-3.605e-05,-0.02625492782877817
-3.604e-05,-0.02669053189710029
-3.603e-05,-0.02692132703274661
