#Digilent WaveForms Impedance Analyzer
#Device Name: Discovery2NI
#Serial Number: SN:210321ABE135
#Date Time: 
#Digilent WaveForms Impedance Analyzer Trace#Trace: Trace
#Start: 1000 Hz
#Stop: 10000 Hz
#Steps: 501
#Order: W1-C1-R-C2-DUT-GND
#Resistor: 100000 O
#Average: 47
#ProbeResistance: 1.04e+06 O
#ProbeCapacitance: 4.3e-11 F
#Compensation:none
#Wavegen: Wavegen1
#Amplitude: 0.2 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.01 s
#MinPeriods: 16
#Scale: Logarithmic
#Channel: Channel 1
#Range: 5.51199 V
#Offset: 0.000299138 V
#Attenuation: 1 X
#Channel: Channel 2
#Range: 5.52909 V
#Offset: 6.9788e-05 V
#Attenuation: 1 X

Frequency (Hz),Trace th (deg),Trace |Z| (Ohm),Trace Xp (Ohm)
1000,-9.199109187467492,53351.73522186711,333728.176084755
1004.615790278396,-9.26098284846287,52880.75408860466,328591.168768035
1009.252886076685,-9.350845989348368,52892.22607385767,325531.6436891882
1013.91138573668,-9.381885958299526,52888.1463596973,324439.1908679677
1018.591388054117,-9.402178603668544,52698.56871425987,322584.7674968287
1023.292992280755,-9.565624523347296,52874.88330540761,318183.8311133302
1028.016298126474,-9.542272847158509,52779.85133098432,318381.9878943991
1032.761405761398,-9.665280572010724,53316.05960651267,317561.5620006066
1037.528415818013,-9.702303048208318,52753.50881396679,313023.3291840092
1042.317429393305,-9.738496474259984,52920.66613830707,312859.3403819547
1047.1285480509,-9.864438552316606,52754.2156193848,307932.178441361
1051.961873823223,-9.899083085641397,52890.79446280903,307659.6376052627
1056.817509213659,-9.979872571891805,52598.8560187377,303509.429102504
1061.695557198725,-9.8620638772585,52744.4187898572,307948.3923024433
1066.596121230258,-10.01404959049808,52737.77258810067,303282.9724887484
1071.519305237607,-10.07110272283244,52609.74531657046,300850.3177372443
1076.465213629835,-9.992274566254785,52746.23339319335,303985.9075980223
1081.433951297939,-10.12133017013688,52763.64113077796,300248.5198581296
1086.425623617066,-10.10192242940738,52560.30185290394,299660.0578348202
1091.440336448757,-10.17426932893837,52625.35627225301,297919.7319012197
1096.478196143186,-10.17664686632552,52705.63938272832,298305.2522827153
1101.539309541416,-10.10814244091661,52833.11612660239,301032.0168074772
1106.623783977667,-10.26483596714567,52730.03169738917,295906.4077224231
1111.731727281592,-10.28348854060765,52715.3384403429,295293.1351228511
1116.863247780562,-10.28853968711776,52591.02715734205,294453.7110243979
1122.018454301964,-10.5380292062023,52628.50662238105,287763.4189194401
1127.197456175511,-10.33070242452694,52654.11109240508,293616.7043911662
1132.400363235558,-10.62567707705486,52760.58123975658,286132.9596494701
1137.627285823432,-10.50309456458903,52576.76486489701,288425.9129632197
1142.878334789772,-10.73833257696624,52459.48444514168,281549.8413301412
1148.153621496883,-10.67109361410937,52732.99534294456,284780.2162823314
1153.453257821093,-10.57652920498456,52648.67670929449,286837.6708774357
1158.777356155127,-10.88089794525366,52570.95599827837,278494.983650412
1164.126029410492,-10.84586473683031,52385.33017546727,278397.235087609
1169.499391019872,-10.86421829752193,52328.14562953643,277629.1632060371
1174.89755493953,-10.90867636766514,52452.71919300976,277169.5820838307
1180.32063565173,-10.95967776867235,52531.84230049188,276311.5983959413
1185.768748167161,-11.00494997218108,52418.19659340934,274593.4986070849
1191.242008027375,-10.96651677114645,52515.16324456899,276053.7148639378
1196.740531307244,-11.07277027334446,52359.18332442663,272625.1505049904
1202.264434617413,-11.12975063329895,52531.06579409555,272137.3094562977
1207.813835106781,-11.20821726550001,52488.98604369749,270039.7493172878
1213.388850464978,-11.28372579759025,52444.28286867235,268027.4187831054
1218.989598924867,-11.24528759090705,52465.44727169976,269040.2552849374
1224.616199265049,-11.41151253439633,52293.9475361361,264305.3323199991
1230.268770812382,-11.34674859957644,52307.31783540345,265861.9246312896
1235.947433444511,-11.44387339462201,52389.79272771698,264050.9271925571
1241.652307592411,-11.3645697627488,52489.80997634346,266376.602226487
1247.383514242944,-11.50144978271434,52315.55847748038,262374.4532417677
1253.141174941416,-11.54897637370535,52278.86272286208,261126.0064952576
1258.925411794168,-11.63734803915281,52338.23419233072,259464.4331376932
1264.736347471152,-11.71906298308624,52342.45469376292,257701.0495194416
1270.574105208542,-11.7384076922559,52313.60297619492,257140.4894006678
1276.438808811345,-11.80477588846305,52252.42993635808,255416.1283760542
1282.330582656022,-11.8862840339206,52328.8710752107,254060.7247655566
1288.249551693135,-11.82380276640209,52212.44185416947,254815.7930716399
1294.195841449987,-11.95837381719303,52237.25375769234,252109.0835814711
1300.169578033291,-12.0875009481639,52180.4099643201,249183.8611797535
1306.170888131842,-12.0589282885295,52143.74358955521,249590.0010985315
1312.199899019204,-12.17709335175732,52208.04083170029,247508.8786762467
1318.256738556408,-12.21474822919015,52320.4603701325,247288.7570797323
1324.341535194665,-12.19673568418868,52162.76779252079,246902.0097490324
1330.454417978092,-12.26662943385979,52057.00119000523,245018.753346491
1336.595516546443,-12.27834879914221,52179.54937807293,245364.7354574189
1342.764961137864,-12.41591132093274,52178.39600035128,242682.8255628661
1348.962882591655,-12.46428899704448,52145.73671648408,241604.4009118293
1355.189412351037,-12.46056180319151,52123.04919294519,241570.3779802562
1361.444682465951,-12.56304976096244,52075.02503650826,239410.1857676482
1367.72882559585,-12.71154181540224,52251.41267224891,237460.3170386465
1374.041975012516,-12.59205688495178,52089.51594748108,238934.026275075
1380.384264602885,-12.69068002618618,52051.61246770356,236934.7753993286
1386.755828871889,-12.73830646470341,52040.89589452188,236014.8757112934
1393.156802945304,-12.74405974953244,52066.58613431283,236026.5470724451
1399.587322572619,-12.80372716184213,51819.27595037447,233828.9076865608
1406.047524129915,-12.92618648883621,51934.86811361318,232167.5910665775
1412.537544622755,-12.95791940682637,51950.43215037286,231678.131534072
1419.057521689093,-12.99064852041805,51918.56583898831,230962.6727187437
1425.607593602189,-13.05864385205989,51976.50247374566,230037.217319096
1432.187899273544,-13.15462484614069,51851.73655847289,227839.8251433038
1438.798578255846,-13.2015885371449,51907.79725213331,227289.0929065882
1445.439770745928,-13.31708001646061,51857.51083180715,225134.7928939501
