Time [ms],travel [mm],dist [mm],Therm [V],m + std
1.4395,504,252,2.6892,2.690345
1.5038,524,262,2.689,0.001066462
1.5582,540,270,2.6897,
1.5978,564,282,2.6895,
1.6521,582,291,2.6891,
1.7114,600,300,2.6902,
1.7412,622,311,2.6926,
1.8251,644,322,2.6919,
1.8845,664,332,2.6909,
1.9388,682,341,2.691,
1.9983,700,350,2.6909,
2.0526,720,360,2.6914,
2.1119,740,370,2.6907,
2.1761,756,378,2.6905,
2.2305,784,392,2.6898,
2.2899,800,400,2.689,
2.3295,820,410,2.6907,
2.4087,840,420,2.6905,
2.4728,860,430,2.6915,
2.5078,880,440,2.6888,
