#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: Discovery2NI
#Serial Number: SN:210321ABE135
#Date Time: 2022-05-03 18:13:24.190
#Sample rate: 40000Hz
#Samples: 4096

Time (s),SPI
-0.051175,X
-0.05115,b00010000
-0.051125,b00010000
-0.0511,b00010000
-0.051075,b00010000
-0.05105,b00010000
-0.051025,b00010000
-0.051,b00010000
-0.050975,b00010000
-0.05095,b00010000
-0.050925,b00010000
-0.0509,b00010000
-0.050875,b00010000
-0.05085,b00010000
-0.050825,b00010000
-0.0508,b00010000
-0.050775,b00010000
-0.05075,b00010000
-0.050725,b00010000
-0.0507,b00010000
-0.050675,b00010000
-0.05065,b00010000
-0.050625,b00010000
-0.0506,b00010000
-0.050575,b00010000
-0.05055,b00010000
-0.050525,b00010000
-0.0505,b00010000
-0.050475,b00010000
-0.05045,b00010000
-0.050425,b00010000
-0.0504,b00011100
-0.050375,b00011100
-0.05035,b00011100
-0.050325,b00011100
-0.0503,b00011100
-0.050275,b00011100
-0.05025,b00011100
-0.050225,b00011100
-0.0502,b00011100
-0.050175,b00011100
-0.05015,b00011100
-0.050125,b00011100
-0.0501,b00011100
-0.050075,b00011100
-0.05005,b00011100
-0.050025,b00011100
-0.05,b00011100
-0.049975,b00011100
-0.04995,b00011100
-0.049925,b00011100
-0.0499,b00011100
-0.049875,b00011100
-0.04985,b00011100
-0.049825,b00011100
-0.0498,b00011100
-0.049775,b00011100
-0.04975,b00011100
-0.049725,b00011100
-0.0497,b00011100
-0.049675,b00011100
-0.04965,b00011100
-0.049625,b00011100
-0.0496,b01000100
-0.049575,b01000100
-0.04955,b01000100
-0.049525,b01000100
-0.0495,b01000100
-0.049475,b01000100
-0.04945,b01000100
-0.049425,b01000100
-0.0494,b01000100
-0.049375,b01000100
-0.04935,b01000100
-0.049325,b01000100
-0.0493,b01000100
-0.049275,b01000100
-0.04925,b01000100
-0.049225,b01000100
-0.0492,b01000100
-0.049175,b01000100
-0.04915,b01000100
-0.049125,b01000100
-0.0491,b01000100
-0.049075,b01000100
-0.04905,b01000100
-0.049025,b01000100
-0.049,b01000100
-0.048975,b01000100
-0.04895,b01000100
-0.048925,b01000100
-0.0489,b01000100
-0.048875,b01000100
-0.04885,b01000100
-0.048825,b01000100
-0.0488,b00010010
-0.048775,b00010010
-0.04875,b00010010
-0.048725,b00010010
-0.0487,b00010010
-0.048675,b00010010
-0.04865,b00010010
-0.048625,b00010010
-0.0486,b00010010
-0.048575,b00010010
-0.04855,b00010010
-0.048525,b00010010
-0.0485,b00010010
-0.048475,b00010010
-0.04845,b00010010
-0.048425,b00010010
-0.0484,b00010010
-0.048375,b00010010
-0.04835,b00010010
-0.048325,b00010010
-0.0483,b00010010
-0.048275,b00010010
-0.04825,b00010010
-0.048225,b00010010
-0.0482,b00010010
-0.048175,b00010010
-0.04815,b00010010
-0.048125,b00010010
-0.0481,b00010010
-0.048075,b00010010
-0.04805,b00010010
-0.048025,b00010010
-0.048,b00000000
-0.047975,b00000000
-0.04795,b00000000
-0.047925,b00000000
-0.0479,b00000000
-0.047875,b00000000
-0.04785,b00000000
-0.047825,b00000000
-0.0478,b00000000
-0.047775,b00000000
-0.04775,b00000000
-0.047725,b00000000
-0.0477,b00000000
-0.047675,b00000000
-0.04765,b00000000
-0.047625,b00000000
-0.0476,b00000000
-0.047575,b00000000
-0.04755,b00000000
-0.047525,b00000000
-0.0475,b00000000
-0.047475,b00000000
-0.04745,b00000000
-0.047425,b00000000
-0.0474,b00000000
-0.047375,b00000000
-0.04735,b00000000
-0.047325,b00000000
-0.0473,b00000000
-0.047275,b00000000
-0.04725,b00000000
-0.047225,b00000000
-0.0472,b00001010
-0.047175,b00001010
-0.04715,b00001010
-0.047125,b00001010
-0.0471,b00001010
-0.047075,b00001010
-0.04705,b00001010
-0.047025,b00001010
-0.047,b00001010
-0.046975,b00001010
-0.04695,b00001010
-0.046925,b00001010
-0.0469,b00001010
-0.046875,b00001010
-0.04685,b00001010
-0.046825,b00001010
-0.0468,b00001010
-0.046775,b00001010
-0.04675,b00001010
-0.046725,b00001010
-0.0467,b00001010
-0.046675,b00001010
-0.04665,b00001010
-0.046625,b00001010
-0.0466,b00001010
-0.046575,b00001010
-0.04655,b00001010
-0.046525,b00001010
-0.0465,b00001010
-0.046475,b00001010
-0.04645,b00001010
-0.046425,b00001010
-0.0464,b00011000
-0.046375,b00011000
-0.04635,b00011000
-0.046325,b00011000
-0.0463,b00011000
-0.046275,b00011000
-0.04625,b00011000
-0.046225,b00011000
-0.0462,b00011000
-0.046175,b00011000
-0.04615,b00011000
-0.046125,b00011000
-0.0461,b00011000
-0.046075,b00011000
-0.04605,b00011000
-0.046025,b00011000
-0.046,b00011000
-0.045975,b00011000
-0.04595,b00011000
-0.045925,b00011000
-0.0459,b00011000
-0.045875,b00011000
-0.04585,b00011000
-0.045825,b00011000
-0.0458,b00011000
-0.045775,b00011000
-0.04575,b00011000
-0.045725,b00011000
-0.0457,b00011000
-0.045675,b00011000
-0.04565,b00011000
-0.045625,b00011000
-0.0456,b11100111
-0.045575,b11100111
-0.04555,b11100111
-0.045525,b11100111
-0.0455,b11100111
-0.045475,b11100111
-0.04545,b11100111
-0.045425,b11100111
-0.0454,b11100111
-0.045375,b11100111
-0.04535,b11100111
-0.045325,b11100111
-0.0453,b11100111
-0.045275,b11100111
-0.04525,b11100111
-0.045225,b11100111
-0.0452,b11100111
-0.045175,b11100111
-0.04515,b11100111
-0.045125,b11100111
-0.0451,b11100111
-0.045075,b11100111
-0.04505,b11100111
-0.045025,b11100111
-0.045,b11100111
-0.044975,b11100111
-0.04495,b11100111
-0.044925,b11100111
-0.0449,b11100111
-0.044875,b11100111
-0.04485,b11100111
-0.044825,b11100111
-0.0448,b01110001
-0.044775,b01110001
-0.04475,b01110001
-0.044725,b01110001
-0.0447,b01110001
-0.044675,b01110001
