#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: Discovery2NI
#Serial Number: SN:210321ABE135
#Date Time: 2022-05-03 18:33:11.675
#Sample rate: 200000Hz
#Samples: 4096

Time (s),SPI
-0.010235,X
-0.01023,X
-0.010225,b01100100
-0.01022,b01100100
-0.010215,b01100100
-0.01021,b01100100
-0.010205,b01100100
-0.0102,b01100100
-0.010195,b01100100
-0.01019,b01100100
-0.010185,b01100100
-0.01018,b01100100
-0.010175,b01100100
-0.01017,b01100100
-0.010165,b01100100
-0.01016,b01100100
-0.010155,b01100100
-0.01015,b01100100
-0.010145,b01100100
-0.01014,b01100100
-0.010135,b01100100
-0.01013,b01100100
-0.010125,b01100100
-0.01012,b01100100
-0.010115,b01100100
-0.01011,b01100100
-0.010105,b01100100
-0.0101,b01100100
-0.010095,b01100100
-0.01009,b01100100
-0.010085,b01100100
-0.01008,b01100100
-0.010075,b11001001
-0.01007,b11001001
-0.010065,b11001001
-0.01006,b11001001
-0.010055,b11001001
-0.01005,b11001001
-0.010045,b11001001
-0.01004,b11001001
-0.010035,b11001001
-0.01003,b11001001
-0.010025,b11001001
-0.01002,b11001001
-0.010015,b11001001
-0.01001,b11001001
-0.010005,b11001001
-0.01,b11001001
-0.009995,b11001001
-0.009990000000000001,b11001001
-0.009985000000000001,b11001001
-0.009979999999999999,b11001001
-0.009974999999999999,b11001001
-0.00997,b11001001
-0.009965,b11001001
-0.00996,b11001001
-0.009955,b11001001
-0.009950000000000001,b11001001
-0.009945000000000001,b11001001
-0.009939999999999999,b11001001
-0.009934999999999999,b11001001
-0.00993,b11001001
-0.009925,b11001001
-0.00992,b11001001
-0.009915,b10010011
-0.00991,b10010011
-0.009905000000000001,b10010011
-0.009900000000000001,b10010011
-0.009894999999999999,b10010011
-0.009889999999999999,b10010011
-0.009885,b10010011
-0.00988,b10010011
-0.009875,b10010011
-0.00987,b10010011
-0.009865000000000001,b10010011
-0.009860000000000001,b10010011
-0.009854999999999999,b10010011
-0.009849999999999999,b10010011
-0.009845,b10010011
-0.00984,b10010011
-0.009835,b10010011
-0.00983,b10010011
-0.009825,b10010011
-0.009820000000000001,b10010011
-0.009815000000000001,b10010011
-0.009809999999999999,b10010011
-0.009804999999999999,b10010011
-0.0098,b10010011
-0.009795,b10010011
-0.00979,b10010011
-0.009785,b10010011
-0.00978,b10010011
-0.009775000000000001,b10010011
-0.009769999999999999,b10010011
-0.009764999999999999,b10010011
-0.00976,b10010011
-0.009755,b00101001
-0.00975,b00101001
-0.009745,b00101001
-0.00974,b00101001
-0.009735000000000001,b00101001
-0.009730000000000001,b00101001
-0.009724999999999999,b00101001
-0.009719999999999999,b00101001
-0.009715,b00101001
-0.00971,b00101001
-0.009705,b00101001
-0.0097,b00101001
-0.009695,b00101001
-0.009690000000000001,b00101001
-0.009684999999999999,b00101001
-0.009679999999999999,b00101001
-0.009675,b00101001
-0.00967,b00101001
-0.009665,b00101001
-0.00966,b00101001
-0.009655,b00101001
-0.009650000000000001,b00101001
-0.009645000000000001,b00101001
-0.009639999999999999,b00101001
-0.009634999999999999,b00101001
-0.00963,b00101001
-0.009625,b00101001
-0.00962,b00101001
-0.009615,b00101001
-0.00961,b00101001
-0.009605000000000001,b00101001
-0.009599999999999999,b00101001
-0.009594999999999999,b10010011
-0.00959,b10010011
-0.009585,b10010011
-0.00958,b10010011
-0.009575,b10010011
-0.00957,b10010011
-0.009565000000000001,b10010011
-0.009560000000000001,b10010011
-0.009554999999999999,b10010011
-0.009549999999999999,b10010011
-0.009545,b10010011
-0.00954,b10010011
-0.009535,b10010011
-0.00953,b10010011
-0.009525,b10010011
-0.009520000000000001,b10010011
-0.009514999999999999,b10010011
-0.009509999999999999,b10010011
-0.009505,b10010011
-0.0095,b10010011
-0.009495,b10010011
-0.00949,b10010011
-0.009485,b10010011
-0.009480000000000001,b10010011
-0.009475000000000001,b10010011
-0.009469999999999999,b10010011
-0.009464999999999999,b10010011
-0.00946,b10010011
-0.009455,b10010011
-0.00945,b10010011
-0.009445,b10010011
-0.00944,b10010011
-0.009435000000000001,b00101001
-0.009429999999999999,b00101001
-0.009424999999999999,b00101001
-0.00942,b00101001
-0.009415,b00101001
-0.00941,b00101001
-0.009405,b00101001
-0.0094,b00101001
-0.009395000000000001,b00101001
-0.009390000000000001,b00101001
-0.009384999999999999,b00101001
-0.009379999999999999,b00101001
-0.009375,b00101001
-0.00937,b00101001
-0.009365,b00101001
-0.00936,b00101001
-0.009355,b00101001
-0.009350000000000001,b00101001
-0.009344999999999999,b00101001
-0.009339999999999999,b00101001
-0.009335,b00101001
-0.00933,b00101001
-0.009325,b00101001
-0.00932,b00101001
-0.009315,b00101001
-0.009310000000000001,b00101001
-0.009305000000000001,b00101001
-0.009299999999999999,b00101001
-0.009294999999999999,b00101001
-0.00929,b00101001
-0.009285,b00101001
-0.00928,b00101001
-0.009275,b10010011
-0.00927,b10010011
-0.009265000000000001,b10010011
-0.009259999999999999,b10010011
-0.009254999999999999,b10010011
-0.00925,b10010011
-0.009245,b10010011
-0.00924,b10010011
-0.009235,b10010011
-0.00923,b10010011
-0.009225000000000001,b10010011
-0.009220000000000001,b10010011
-0.009214999999999999,b10010011
-0.009209999999999999,b10010011
-0.009205,b10010011
-0.0092,b10010011
-0.009195,b10010011
-0.00919,b10010011
-0.009185,b10010011
-0.009180000000000001,b10010011
-0.009175000000000001,b10010011
-0.009169999999999999,b10010011
-0.009165,b10010011
-0.00916,b10010011
-0.009155,b10010011
-0.00915,b10010011
-0.009145,b10010011
-0.009140000000000001,b10010011
-0.009135000000000001,b10010011
-0.009129999999999999,b10010011
-0.009124999999999999,b10010011
-0.00912,b10010011
-0.009115,b00100110
-0.00911,b00100110
-0.009105,b00100110
-0.0091,b00100110
-0.009095000000000001,b00100110
-0.009090000000000001,b00100110
-0.009084999999999999,b00100110
-0.00908,b00100110
-0.009075,b00100110
-0.00907,b00100110
-0.009065,b00100110
-0.00906,b00100110
-0.009055000000000001,b00100110
-0.009050000000000001,b00100110
-0.009044999999999999,b00100110
-0.009039999999999999,b00100110
-0.009035,b00100110
-0.00903,b00100110
-0.009025,b00100110
-0.00902,b00100110
-0.009015,b00100110
-0.009010000000000001,b00100110
-0.009005000000000001,b00100110
-0.008999999999999999,b00100110
-0.008995,b00100110
-0.00899,b00100110
-0.008985,b00100110
-0.00898,b00100110
-0.008975,b00100110
-0.008970000000000001,b00100110
-0.008965000000000001,b00100110
-0.008959999999999999,b00100110
-0.008954999999999999,b01001100
-0.00895,b01001100
-0.008945,b01001100
-0.00894,b01001100
-0.008935,b01001100
-0.00893,b01001100
-0.008925000000000001,b01001100
-0.008920000000000001,b01001100
-0.008914999999999999,b01001100
-0.00891,b01001100
-0.008905,b01001100
-0.0089,b01001100
-0.008895,b01001100
-0.00889,b01001100
-0.008885000000000001,b01001100
-0.008880000000000001,b01001100
-0.008874999999999999,b01001100
-0.008869999999999999,b01001100
-0.008865,b01001100
-0.00886,b01001100
-0.008855,b01001100
-0.00885,b01001100
-0.008845,b01001100
-0.008840000000000001,b01001100
-0.008835000000000001,b01001100
-0.008829999999999999,b01001100
-0.008825,b01001100
-0.00882,b01001100
-0.008815,b01001100
-0.00881,b01001100
-0.008805,b01001100
-0.008800000000000001,b01001100
-0.008795000000000001,b10100110
-0.008789999999999999,b10100110
-0.008784999999999999,b10100110
-0.00878,b10100110
-0.008775,b10100110
-0.00877,b10100110
-0.008765,b10100110
-0.00876,b10100110
-0.008755000000000001,b10100110
-0.008750000000000001,b10100110
-0.008744999999999999,b10100110
-0.00874,b10100110
-0.008735,b10100110
-0.00873,b10100110
-0.008725,b10100110
-0.00872,b10100110
-0.008715000000000001,b10100110
-0.008710000000000001,b10100110
-0.008704999999999999,b10100110
-0.008699999999999999,b10100110
-0.008695,b10100110
-0.00869,b10100110
-0.008685,b10100110
-0.00868,b10100110
-0.008675,b10100110
-0.008670000000000001,b10100110
-0.008665000000000001,b10100110
-0.008659999999999999,b10100110
-0.008654999999999999,b10100110
-0.00865,b10100110
-0.008645,b10100110
-0.00864,b10100110
-0.008635,b01001100
-0.008630000000000001,b01001100
-0.008625000000000001,b01001100
-0.008619999999999999,b01001100
-0.008614999999999999,b01001100
-0.00861,b01001100
-0.008605,b01001100
-0.0086,b01001100
-0.008595,b01001100
-0.00859,b01001100
-0.008585000000000001,b01001100
-0.008580000000000001,b01001100
-0.008574999999999999,b01001100
-0.008569999999999999,b01001100
-0.008565,b01001100
-0.00856,b01001100
-0.008555,b01001100
-0.00855,b01001100
-0.008545000000000001,b01001100
-0.008540000000000001,b01001100
-0.008534999999999999,b01001100
-0.008529999999999999,b01001100
-0.008525,b01001100
-0.00852,b01001100
-0.008515,b01001100
-0.00851,b01001100
-0.008505,b01001100
-0.008500000000000001,b01001100
-0.008495000000000001,b01001100
-0.008489999999999999,b01001100
-0.008484999999999999,b01001100
-0.00848,b01001100
-0.008475,b10100110
-0.00847,b10100110
-0.008465,b10100110
-0.008460000000000001,b10100110
-0.008455000000000001,b10100110
-0.008449999999999999,b10100110
-0.008444999999999999,b10100110
-0.00844,b10100110
-0.008435,b10100110
-0.00843,b10100110
-0.008425,b10100110
-0.00842,b10100110
-0.008415000000000001,b10100110
-0.008410000000000001,b10100110
-0.008404999999999999,b10100110
-0.008399999999999999,b10100110
-0.008395,b10100110
-0.00839,b10100110
-0.008385,b10100110
-0.00838,b10100110
-0.008375,b10100110
-0.008370000000000001,b10100110
-0.008364999999999999,b10100110
-0.008359999999999999,b10100110
-0.008355,b10100110
-0.00835,b10100110
-0.008345,b10100110
-0.00834,b10100110
-0.008335,b10100110
-0.008330000000000001,b10100110
-0.008325000000000001,b10100110
-0.008319999999999999,b10100110
-0.008314999999999999,b01001100
-0.00831,b01001100
-0.008305,b01001100
-0.0083,b01001100
-0.008295,b01001100
-0.00829,b01001100
-0.008285000000000001,b01001100
-0.008279999999999999,b01001100
-0.008274999999999999,b01001100
-0.00827,b01001100
-0.008265,b01001100
-0.00826,b01001100
-0.008255,b01001100
-0.00825,b01001100
-0.008245000000000001,b01001100
-0.008240000000000001,b01001100
-0.008234999999999999,b01001100
-0.008229999999999999,b01001100
-0.008225,b01001100
-0.00822,b01001100
-0.008215,b01001100
-0.00821,b01001100
-0.008205,b01001100
-0.008200000000000001,b01001100
-0.008194999999999999,b01001100
-0.008189999999999999,b01001100
-0.008185,b01001100
-0.00818,b01001100
-0.008175,b01001100
-0.00817,b01001100
-0.008165,b01001100
-0.008160000000000001,b01001100
-0.008155000000000001,b10011001
-0.008149999999999999,b10011001
-0.008144999999999999,b10011001
-0.00814,b10011001
-0.008135,b10011001
-0.00813,b10011001
-0.008125,b10011001
-0.00812,b10011001
-0.008115000000000001,b10011001
-0.008109999999999999,b10011001
-0.008104999999999999,b10011001
-0.0081,b10011001
-0.008095,b10011001
-0.00809,b10011001
-0.008085,b10011001
-0.00808,b10011001
-0.008075000000000001,b10011001
-0.008070000000000001,b10011001
-0.008064999999999999,b10011001
-0.008059999999999999,b10011001
-0.008055,b10011001
-0.00805,b10011001
-0.008045,b10011001
-0.00804,b10011001
-0.008035,b10011001
-0.008030000000000001,b10011001
-0.008024999999999999,b10011001
-0.008019999999999999,b10011001
-0.008015,b10011001
-0.00801,b10011001
-0.008005,b10011001
-0.008,b10011001
-0.007995,b00110010
-0.007990000000000001,b00110010
-0.007985000000000001,b00110010
-0.007979999999999999,b00110010
-0.007974999999999999,b00110010
-0.00797,b00110010
-0.007965,b00110010
-0.00796,b00110010
-0.007955,b00110010
-0.00795,b00110010
-0.007945000000000001,b00110010
-0.007939999999999999,b00110010
-0.007934999999999999,b00110010
-0.00793,b00110010
-0.007925,b00110010
-0.00792,b00110010
-0.007915,b00110010
-0.00791,b00110010
-0.007905000000000001,b00110010
-0.007900000000000001,b00110010
-0.007894999999999999,b00110010
-0.007889999999999999,b00110010
-0.007885,b00110010
-0.00788,b00110010
-0.007875,b00110010
-0.00787,b00110010
-0.007865,b00110010
-0.007860000000000001,b00110010
-0.007854999999999999,b00110010
-0.007849999999999999,b00110010
-0.007845,b00110010
-0.00784,b00110010
-0.007835,b10011001
-0.00783,b10011001
-0.007825,b10011001
