#Digilent WaveForms Logic Analyzer SPI
#Device Name: Discovery2NI
#Serial Number: SN:210321AD118C
#Date Time: 2022-04-12 14:44:03.1000

Time (s),Data
-0.02498,b00100001
-0.02483,b00001000
-0.02467,b01000001
-0.02451,b00001000
-0.02435,b00100000
-0.02419,b01000001
-0.02403,b00000010
-0.02387,b00001000
-0.02371,b00100000
-0.02355,b01000001
-0.02339,b00001000
-0.02323,b00100001
-0.02307,b00001000
-0.02291,b01000100
-0.02275,b01000010
-0.02259,b01000100
-0.02243,b01001000
-0.02227,b10010010
-0.02211,b01001001
-0.02195,b00101001
-0.02179,b01001010
-0.02163,b01100100
-0.02147,b11001100
-0.02131,b10101010
-0.02115,b10101100
-0.02099,b11010110
-0.02083,b01101101
-0.02067,b01101011
-0.02051,b01101101
-0.02035,b01101101
-0.02019,b11011011
-0.02003,b01101110
-0.01987,b11011101
-0.01971,b11011101
-0.01955,b11011101
-0.01939,b11011101
-0.01923,b11011110
-0.01907,b11101110
-0.01891,b11110111
-0.01875,b01110111
-0.01859,b10111011
-0.01843,b10111011
-0.01827,b10111011
-0.01811,b10110111
-0.01795,b01101101
-0.01779,b11011011
-0.01763,b01101101
-0.01747,b10110101
-0.01731,b10101101
-0.01715,b01101010
-0.01699,b11001101
-0.01683,b01011001
-0.01667,b10011001
-0.01651,b01010100
-0.01635,b11001001
-0.01619,b10001100
-0.01603,b01010010
-0.01587,b01001001
-0.01571,b00100100
-0.01555,b01001000
-0.01539,b10010001
-0.01523,b00010000
-0.01507,b10001000
-0.01491,b01000010
-0.01475,b00010000
-0.01459,b01000010
-0.01443,b00001000
-0.01427,b00100000
-0.01411,b01000001
-0.01395,b00000010
-0.01379,b00001000
-0.01363,b00100000
-0.01347,b10000010
-0.01331,b00001000
-0.01315,b01000010
-0.01299,b00010000
-0.01283,b10001000
-0.01267,b10001000
-0.01251,b10001001
-0.01235,b00100010
-0.01219,b01001001
-0.01203,b00100101
-0.01187,b00100110
-0.01171,b01001010
-0.01155,b01100101
-0.01139,b01010101
-0.01123,b01010101
-0.01107,b01010110
-0.01091,b01101101
-0.01075,b01011011
-0.01059,b01011011
-0.01043,b01011011
-0.01027,b01101101
-0.01011,b11011011
-0.009950000000000001,b01110110
-0.00979,b11101110
-0.00963,b11101110
-0.009469999999999999,b11101110
-0.009310000000000001,b11101111
-0.00915,b01110111
-0.00899,b01111011
-0.008829999999999999,b10111011
-0.008670000000000001,b11011101
-0.00851,b11011101
-0.00835,b11011101
-0.008189999999999999,b11011101
-0.008030000000000001,b10111011
-0.00787,b01101110
-0.00771,b11011011
-0.00755,b01101101
-0.00739,b01101101
-0.00723,b01101011
-0.00707,b00110101
-0.00691,b10011010
-0.00675,b10101010
-0.00659,b10100110
-0.00643,b01100100
-0.00627,b11001001
-0.00611,b01001001
-0.00595,b01001001
-0.00579,b00100100
-0.00563,b10001001
-0.00547,b00010010
